0;INEA E PCT TRANSPORTES EIRELI;FATURAS VENCIDAS;08/04/2026;12:59
1;Fatura;Emissao;CNPJ pagador;Nome pagador;ClienteABC;Cidade pagador;UF pagador;UnidResp;Vendedor;Banco;Valor;Vencimento;DiasAtraso;Saldo
2;0002496-1;16/05/22;23635798000143;SCHULZ COMPRESSORES SA;"C2";JOINVILLE;SC;JOI;DIVERSOS;BANCO ITAU S.A.;83,19;30/06/22;1378;83,19
2;0003596-3;29/05/23;23635798000143;SCHULZ COMPRESSORES SA;"C2";JOINVILLE;SC;JOI;DIVERSOS;CARTEIRA;797,39;25/07/23;988;797,39
2;0004919-1;03/09/24;23635798000143;SCHULZ COMPRESSORES SA;"C2";JOINVILLE;SC;JOI;DIVERSOS;CARTEIRA;371,49;13/09/24;572;371,49
2;0001851-1;16/08/21;23635798000143;SCHULZ COMPRESSORES SA;"C2";JOINVILLE;SC;JOI;DIVERSOS;BANCO ITAU S.A.;297,03;30/09/21;1651;297,03
2;0002600-0;20/06/22;75344937000183;SINTEX INDUSTRIAL DE PLASTICOS;"C2";JOINVILLE;SC;JOI;alexsand;BANCO ITAU S.A.;249,22;30/06/22;1378;249,22
2;0004202-1;18/12/23;75344937000183;SINTEX INDUSTRIAL DE PLASTICOS;"C2";JOINVILLE;SC;JOI;alexsand;SICREDI;196,48;28/12/23;832;196,48
2;0004487-3;08/04/24;03485170000100;SOCELPLAST IND DE PLAST LTDA;"C2";JOINVILLE;SC;JOI;alexsand;CARTEIRA;102,27;22/04/24;716;102,27
2;0002253-5;31/01/22;19333796000122;VALDOMIRO DE OLIVEIRA COM DE P;".2";ARAQUARI;SC;JOI;;CARTEIRA;233,45;14/02/22;1514;233,45
2;0000744-7;24/02/20;05391403000122;VICAP IND COM PLAST LTDA ME;".2";JOINVILLE;SC;JOI;;CARTEIRA;3872,23;09/03/20;2221;3872,23
2;0000761-7;02/03/20;05391403000122;VICAP IND COM PLAST LTDA ME;".2";JOINVILLE;SC;JOI;;CARTEIRA;329,73;16/03/20;2214;329,73
2;0000778-1;09/03/20;05391403000122;VICAP IND COM PLAST LTDA ME;".2";JOINVILLE;SC;JOI;;CARTEIRA;2604,87;23/03/20;2207;2604,87
2;0001441-9;01/02/21;31914241000170;WSA COMERCIO DE FITAS ERIELI;".2";ARAQUARI;SC;JOI;;CARTEIRA;201,66;15/02/21;1878;201,66
2;0001466-4;15/02/21;31914241000170;WSA COMERCIO DE FITAS ERIELI;".2";ARAQUARI;SC;JOI;;CARTEIRA;90,94;01/03/21;1864;90,94
2;0001818-0;02/08/21;63004030004000;02.02 CEC CASA E CONSTRUCAO LT;".2";RIO DE JANEIRO;RJ;RJO;;CARTEIRA;71,74;16/08/21;1696;71,74
2;0001786-8;19/07/21;63004030006127;02.12 C&C CASA E CONSTRUCAO LTDA;".2";MACAE;RJ;RJO;;CARTEIRA;221,94;02/08/21;1710;221,94
2;0004695-7;17/06/24;22029856000122;ALTA PERFORMANCE RECAUCHUTADORA E REFORMADORA DE PNEUS LTDA;".2";NOVA IGUACU;RJ;RJO;;CARTEIRA;689,26;01/07/24;646;689,26
2;0004488-1;08/04/24;47115063000157;BLITZ COMERCIO ELETRONICO DE BICICLETAS E ACESSORIOS LTDA;".2";RIO DE JANEIRO;RJ;RJO;;CARTEIRA;175,01;22/04/24;716;175,01
2;0003709-5;03/07/23;47675314000158;BROTEI NA HORTA PRODUTOS AGRICOLAS LTDA;".2";RIO DE JANEIRO;RJ;RJO;;CARTEIRA;522,00;02/08/23;980;522,00
2;0003804-1;07/08/23;47675314000158;BROTEI NA HORTA PRODUTOS AGRICOLAS LTDA;".2";RIO DE JANEIRO;RJ;RJO;;CARTEIRA;618,00;06/09/23;945;618,00
2;0003934-9;25/09/23;47675314000158;BROTEI NA HORTA PRODUTOS AGRICOLAS LTDA;".2";RIO DE JANEIRO;RJ;RJO;;CARTEIRA;504,00;25/10/23;896;504,00
2;0004094-1;20/11/23;47675314000158;BROTEI NA HORTA PRODUTOS AGRICOLAS LTDA;".2";RIO DE JANEIRO;RJ;RJO;;CARTEIRA;766,74;20/12/23;840;766,74
2;0004395-8;04/03/24;00000447009702;EDINEI MAXIMO PEREIRA;".2";RIO DE JANEIRO;RJ;RJO;;CARTEIRA;324,86;18/03/24;751;324,86
2;0004654-0;03/06/24;17332857000101;ESGO-JET AMBIENTAL LTDA;".2";ITAGUAI;RJ;RJO;;CARTEIRA;191,19;17/06/24;660;191,19
2;0003997-7;16/10/23;06772283000176;ESTOQUE DA BAIXADA DIST FERRAG LTDA;".2";MESQUITA;RJ;RJO;;CARTEIRA;317,07;30/10/23;891;317,07
2;0002424-4;18/04/22;33064262000179;FABRIMAR S/A INDE COM;".2";RIO DE JANEIRO;RJ;RJO;;CARTEIRA;380,77;25/04/22;1444;380,77
2;0002596-8;20/06/22;33064262000179;FABRIMAR S/A INDE COM;".2";RIO DE JANEIRO;RJ;RJO;;CARTEIRA;2996,49;25/06/22;1383;2996,49
2;0001775-2;12/07/21;33064262000179;FABRIMAR S/A INDE COM;".2";RIO DE JANEIRO;RJ;RJO;;CARTEIRA;300,00;25/07/21;1718;300,00
2;0000112-1;13/05/19;33064262000179;FABRIMAR S/A INDE COM;".2";RIO DE JANEIRO;RJ;RJO;;CARTEIRA;168,93;23/08/19;2420;168,93
2;0001844-9;16/08/21;33064262000179;FABRIMAR S/A INDE COM;".2";RIO DE JANEIRO;RJ;RJO;;CARTEIRA;350,00;25/08/21;1687;350,00
2;0001864-3;23/08/21;33064262000179;FABRIMAR S/A INDE COM;".2";RIO DE JANEIRO;RJ;RJO;;CARTEIRA;159,64;10/09/21;1671;159,64
2;0001925-9;20/09/21;33064262000179;FABRIMAR S/A INDE COM;".2";RIO DE JANEIRO;RJ;RJO;;CARTEIRA;286,08;25/09/21;1656;286,08
2;0002874-6;19/09/22;33064262000179;FABRIMAR S/A INDE COM;".2";RIO DE JANEIRO;RJ;RJO;;CARTEIRA;201,48;25/09/22;1291;201,48
2;0000379-4;23/09/19;33064262000179;FABRIMAR S/A INDE COM;".2";RIO DE JANEIRO;RJ;RJO;;CARTEIRA;84,76;10/10/19;2372;84,76
2;0000407-3;07/10/19;33064262000179;FABRIMAR S/A INDE COM;".2";RIO DE JANEIRO;RJ;RJO;;CARTEIRA;72,83;25/10/19;2357;72,83
2;0001975-5;13/10/21;33064262000179;FABRIMAR S/A INDE COM;".2";RIO DE JANEIRO;RJ;RJO;;CARTEIRA;199,67;25/10/21;1626;199,67
2;0003976-4;09/10/23;33064262000179;FABRIMAR S/A INDE COM;".2";RIO DE JANEIRO;RJ;RJO;;CARTEIRA;2727,27;25/10/23;896;2727,27
2;0002983-1;24/10/22;33064262000179;FABRIMAR S/A INDE COM;".2";RIO DE JANEIRO;RJ;RJO;;CARTEIRA;171,26;10/11/22;1245;171,26
2;0002065-6;16/11/21;33064262000179;FABRIMAR S/A INDE COM;".2";RIO DE JANEIRO;RJ;RJO;;BANCO ITAU S.A.;83,61;25/11/21;1595;83,61
2;0006062-3;15/12/25;11040609000100;H. D. LOG TRANSPORTES LTDA - M;".1";RIO DE JANEIRO;RJ;RJO;;CARTEIRA;9628,43;05/01/26;93;9628,43
2;0002158-0;20/12/21;11040609000100;H. D. LOG TRANSPORTES LTDA - M;".1";RIO DE JANEIRO;RJ;RJO;;CARTEIRA;96,85;10/01/22;1549;96,85
2;0001368-4;21/12/20;11040609000100;H. D. LOG TRANSPORTES LTDA - M;".1";RIO DE JANEIRO;RJ;RJO;;CARTEIRA;60,55;11/01/21;1913;60,55
