0;INEA E PCT TRANSPORTES EIRELI;CTRCS DISPONIVEIS PARA FATURAR 30/90 DIAS;08/04/2026;06:05
1;CTRC;Emissao;Tipo documento;CPNJ Pagador;Nome Pagador;ABC;Cidade Pagador;UF Pagador;Vendedor;UnidResp;Tipo Cobranca;Transportar;ValorFrete;Tipo Frete;Cod ult ocorrencia;Descricao ult ocorrencia;Data ult ocorrencia;Localizacao atual;Comprovante Escaneado
2;JOI121118-8;26/03/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;217,78;CIF;84;CHEGADA NA UNIDADE DE DESTINO;31/03/26;HDL RJO-Subcontrato autorizado com 3 volumes e 16 Kg. Destino: RJ/VOLTA REDONDA. Previsao de entrega: 07/04/26;NAO
2;JOI121119-6;26/03/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;216,35;CIF;85;SAIDA PARA ENTREGA;07/04/26;HDS RJO - EM ENTREGA;NAO
2;JOI121121-8;26/03/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;392,77;CIF;34;MERCADORIA EM CONFERENCIA NO DESTINATARIO;02/04/26;HDS RJO - NO ARMAZEM DA UNIDADE HDLOGSUL RJ;NAO
2;JOI121128-5;26/03/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;409,75;CIF;34;MERCADORIA EM CONFERENCIA NO DESTINATARIO;02/04/26;HDS RJO - NO ARMAZEM DA UNIDADE HDLOGSUL RJ;NAO
2;JOI121129-3;26/03/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;201,38;CIF;34;MERCADORIA EM CONFERENCIA NO DESTINATARIO;02/04/26;HDL RJO-EM ENTREGA NA CIDADE DE RIO DE JANEIRO. VEICULO: LMB2857. ROMANEIO 046738-3. EMISSAO: 02/04/26;NAO
2;JOI121132-3;26/03/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;257,95;CIF;34;MERCADORIA EM CONFERENCIA NO DESTINATARIO;02/04/26;HDL RJO-EM ENTREGA NA CIDADE DE RIO DE JANEIRO. VEICULO: KWL8E73. ROMANEIO 046734-1. EMISSAO: 02/04/26;NAO
2;JOI121135-8;26/03/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;434,63;CIF;34;MERCADORIA EM CONFERENCIA NO DESTINATARIO;02/04/26;HDS RJO - NO ARMAZEM DA UNIDADE HDLOGSUL RJ;NAO
2;JOI121136-6;26/03/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;1310,95;CIF;13;ENTREGA PREJUDICADA PELO HORARIO OU TRANSITO;07/04/26;HDL RJO-EM ENTREGA NA CIDADE DE RIO DE JANEIRO. VEICULO: LUP6010. ROMANEIO 046775-8. EMISSAO: 07/04/26;NAO
2;JOI121137-4;26/03/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;277,38;CIF;84;CHEGADA NA UNIDADE DE DESTINO;31/03/26;HDS RJO - HDLOGSUL RJ - APONTADO PARA ENTREGA - VEICULO: RKY5F13;NAO
2;JOI121237-1;27/03/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;299,95;CIF;84;CHEGADA NA UNIDADE DE DESTINO;31/03/26;MTD DQX-Subcontrato emitido com 20 volumes e 102 Kg. Destino: RJ/CAMPOS DOS GOYTACAZES. Previsao de entrega: 07/04/26;NAO
2;JOI121239-7;27/03/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;392,13;CIF;34;MERCADORIA EM CONFERENCIA NO DESTINATARIO;02/04/26;HDL RJO-EM ENTREGA NA CIDADE DE RIO DE JANEIRO. VEICULO: LUP6010. ROMANEIO 046720-1. EMISSAO: 02/04/26;NAO
2;JOI121241-9;27/03/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;271,28;CIF;34;MERCADORIA EM CONFERENCIA NO DESTINATARIO;02/04/26;HDL RJO-EM ENTREGA NA CIDADE DE RIO DE JANEIRO. VEICULO: KWL8E73. ROMANEIO 046734-1. EMISSAO: 02/04/26;NAO
2;JOI121242-7;27/03/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;380,07;CIF;34;MERCADORIA EM CONFERENCIA NO DESTINATARIO;02/04/26;HDS RJO - NO ARMAZEM DA UNIDADE HDLOGSUL RJ;NAO
2;JOI121244-3;27/03/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;256,27;CIF;84;CHEGADA NA UNIDADE DE DESTINO;31/03/26;HDS RJO - HDLOGSUL RJ - APONTADO PARA ENTREGA - VEICULO: RKY5F13;NAO
2;JOI121247-8;27/03/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;269,60;CIF;84;CHEGADA NA UNIDADE DE DESTINO;31/03/26;HDL RJO-Subcontrato autorizado com 4 volumes e 63 Kg. Destino: RJ/VOLTA REDONDA. Previsao de entrega: 07/04/26;NAO
2;JOI121250-8;27/03/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;225,43;CIF;84;CHEGADA NA UNIDADE DE DESTINO;31/03/26;HDL RJO-Subcontrato autorizado com 2 volumes e 21 Kg. Destino: RJ/VOLTA REDONDA. Previsao de entrega: 07/04/26;NAO
2;JOI121251-6;27/03/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;392,58;CIF;85;SAIDA PARA ENTREGA;08/04/26;HDL RJO-EM ENTREGA NA CIDADE DE RIO DE JANEIRO. VEICULO: KPT9D90. ROMANEIO 046787-1. EMISSAO: 08/04/26;NAO
2;JOI121253-2;27/03/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;218,55;CIF;84;CHEGADA NA UNIDADE DE DESTINO;31/03/26;HDS RJO - HDLOGSUL RJ - APONTADO PARA ENTREGA - VEICULO: RKY5F13;NAO
2;JOI121255-9;27/03/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;218,35;CIF;84;CHEGADA NA UNIDADE DE DESTINO;31/03/26;HDL RJO-Subcontrato autorizado com 4 volumes e 19 Kg. Destino: RJ/VOLTA REDONDA. Previsao de entrega: 07/04/26;NAO
2;JOI121256-7;27/03/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;222,43;CIF;84;CHEGADA NA UNIDADE DE DESTINO;31/03/26;HDL RJO-Subcontrato autorizado com 5 volumes e 27 Kg. Destino: RJ/VOLTA REDONDA. Previsao de entrega: 07/04/26;NAO
2;JOI121259-1;27/03/26;Normal;58514928002037�;MEXICHEM BRASIL INDUSTRIA DE T;"A1";JOINVILLE;SC;alexsand;JOI;CARTEIRA;SIM;221,91;CIF;84;CHEGADA NA UNIDADE DE DESTINO;31/03/26;HDL RJO-Subcontrato autorizado com 4 volumes e 20 Kg. Destino: RJ/VOLTA REDONDA. Previsao de entrega: 07/04/26;NAO
